date,away_team,away_pitcher,away_score,home_score,home_win,home_team,home_pitcher,away_pitcher_games,home_pitcher_games,closing_total,away_ml_percent,home_ml_odds_percent
5/16/19,Toronto Blue Jays,M STROMAN,2,4,W,Chicago White Sox,D COVEY,22,4,10,53.2,48.5
5/16/19,Chicago Cubs,J QUINTANA,2,4,W,Cincinnati Reds,L CASTILLO,23,14,8,43.0,58.7
5/16/19,Baltimore Orioles,D STRAILY,7,14,W,Cleveland Indians,T BAUER,1,12,9,23.9,77.8
5/16/19,Oakland Athletics,C BASSITT,17,3,L,Detroit Tigers,S TURNBULL,20,11,8.5,59.7,42.0
5/16/19,Texas Rangers,L LYNN,16,1,L,Kansas City Royals,H BAILEY,24,9,10.5,48.4,53.3
5/16/19,Milwaukee Brewers,Z DAVIES,11,3,L,Philadelphia Phillies,Z EFLIN,22,9,9,48.2,53.5
5/16/19,Pittsburgh Pirates,T WILLIAMS,3,4,W,San Diego Padres,E LAUER,17,9,7.5,42.5,59.2
5/16/19,Minnesota Twins,M PINEDA,11,6,L,Seattle Mariners,E SWANSON,17,1,9.5,50.7,51.0
5/16/19,New York Mets,Z WHEELER,6,7,W,Washington Nationals,A SANCHEZ,22,12,8.5,54.8,46.9
5/17/19,San Francisco Giants,J SAMARDZIJA,0,7,W,Arizona Diamondbacks,M KELLY,23,11,9,42.9,58.8
5/17/19,Milwaukee Brewers,J CHACIN,8,12,W,Atlanta Braves,M FRIED,14,9,9,45.6,56.1
5/17/19,Houston Astros,G COLE,3,1,L,Boston Red Sox,R PORCELLO,25,13,9.5,57.6,44.1
5/17/19,Toronto Blue Jays,AA SANCHEZ,10,2,L,Chicago White Sox,I NOVA,17,10,9,48.0,53.7
5/17/19,Los Angeles Dodgers,R HILL,6,0,L,Cincinnati Reds,A DESCLAFANI,10,11,10,57.8,43.9
5/17/19,Baltimore Orioles,D BUNDY,5,1,L,Cleveland Indians,J RODRIGUEZ,21,1,9,38.7,63.0
5/17/19,Oakland Athletics,F MONTAS,7,2,L,Detroit Tigers,D NORRIS,7,9,9.5,65.3,36.4
5/17/19,Kansas City Royals,B KELLER,2,5,W,Los Angeles Angels,M HARVEY,18,3,10,36.8,64.9
5/17/19,New York Mets,J DEGROM,6,8,W,Miami Marlins,T RICHARDS,23,8,6.5,68.9,32.8
5/17/19,Tampa Bay Rays,R STANEK,3,4,W,New York Yankees,C SABATHIA,15,7,10,49.5,52.2
5/17/19,Colorado Rockies,J GRAY,4,5,W,Philadelphia Phillies,C IRVIN,16,0,9.5,48.6,53.1
5/17/19,Pittsburgh Pirates,J LYLES,5,3,L,San Diego Padres,J LUCCHESI,20,10,7,38.9,62.8
5/17/19,Minnesota Twins,M PEREZ,7,1,L,Seattle Mariners,M GONZALES,22,10,8.5,48.2,53.5
5/17/19,St Louis Cardinals,M MIKOLAS,3,7,W,Texas Rangers,J LECLERC,23,0,11,61.0,40.7
5/17/19,Chicago Cubs,C HAMELS,14,6,L,Washington Nationals,M SCHERZER,18,11,8.5,40.3,61.4
5/18/19,San Francisco Giants,M BUMGARNER,8,5,L,Arizona Diamondbacks,Z GODLEY,24,1,8.5,53.4,48.3
5/18/19,Milwaukee Brewers,C ANDERSON,3,4,W,Atlanta Braves,K GAUSMAN,24,4,9.5,46.3,55.4
5/18/19,Houston Astros,C MARTIN,7,3,L,Boston Red Sox,H VELAZQUEZ,3,0,10.5,51.5,50.2
5/18/19,Toronto Blue Jays,R FEIERABEND,1,4,W,Chicago White Sox,L GIOLITO,0,11,9.5,41.5,60.2
5/18/19,Los Angeles Dodgers,W BUEHLER,0,4,W,Cincinnati Reds,T MAHLE,22,8,10,61.2,40.5
5/18/19,Baltimore Orioles,J MEANS,1,4,W,Cleveland Indians,A PLUTKO,20,8,9,41.7,60.0
5/18/19,Oakland Athletics,D MENGDEN,4,1,L,Detroit Tigers,M BOYD,7,9,9,53.6,48.1
5/18/19,Kansas City Royals,J JUNIS,3,6,W,Los Angeles Angels,G CANNING,21,8,9,36.8,64.9
5/18/19,New York Mets,S MATZ,0,2,W,Miami Marlins,P LOPEZ,21,7,7.5,55.2,46.5
5/18/19,Tampa Bay Rays,B SNELL,2,1,L,New York Yankees,M TANAKA,15,11,8.5,52.7,49.0
5/18/19,Colorado Rockies,A SENZATELA,1,2,W,Philadelphia Phillies,A NOLA,18,12,10,39.0,62.7
5/18/19,Pittsburgh Pirates,M DURAPAU,7,2,L,San Diego Padres,N MARGEVICIUS,1,2,8,41.4,60.3
5/18/19,Minnesota Twins,J BERRIOS,18,4,L,Seattle Mariners,W LEBLANC,23,1,9.5,56.5,45.2
5/18/19,St Louis Cardinals,DAK HUDSON,8,2,L,Texas Rangers,A JURADO,24,8,12.5,51.7,50.0
5/18/19,Chicago Cubs,J LESTER,2,5,W,Washington Nationals,S STRASBURG,23,9,8.5,44.3,57.4
5/19/19,San Francisco Giants,D POMERANZ,3,2,L,Arizona Diamondbacks,R RAY,10,9,8,35.4,66.3
5/19/19,Milwaukee Brewers,B WOODRUFF,3,2,L,Atlanta Braves,M FOLTYNEWICZ,13,7,9,57.8,43.9
5/19/19,Houston Astros,W MILEY,3,4,W,Boston Red Sox,C SALE,23,7,9.5,36.1,65.6
5/19/19,Toronto Blue Jays,T THORNTON,5,2,L,Chicago White Sox,RE LOPEZ,19,9,9.5,49.5,52.2
5/19/19,Los Angeles Dodgers,H RYU,8,3,L,Cincinnati Reds,T ROARK,21,11,9,61.5,40.2
5/19/19,Baltimore Orioles,Y RAMIREZ,0,10,W,Cleveland Indians,S BIEBER,0,13,10,31.6,70.1
5/19/19,Kansas City Royals,D DUFFY,5,1,L,Los Angeles Angels,T SKAGGS,18,3,8.5,40.0,61.7
5/19/19,New York Mets,N SYNDERGAARD,0,3,W,Miami Marlins,S ALCANTARA,22,10,7,66.1,35.6
5/19/19,Tampa Bay Rays,C MORTON,5,13,W,New York Yankees,C GREEN,25,8,9.5,48.6,53.1
5/19/19,Colorado Rockies,K FREELAND,5,7,W,Philadelphia Phillies,J EICKHOFF,12,2,10.5,49.1,52.6
5/19/19,Pittsburgh Pirates,J MUSGROVE,6,4,L,San Diego Padres,C QUANTRILL,22,9,8,48.9,52.8
5/19/19,Minnesota Twins,K GIBSON,4,7,W,Seattle Mariners,Y KIKUCHI,20,10,8.5,46.5,55.2
5/19/19,St Louis Cardinals,J FLAHERTY,4,5,W,Texas Rangers,D SMYLY,23,7,11,61.0,40.7
5/19/19,Chicago Cubs,K HENDRICKS,6,5,L,Washington Nationals,J HELLICKSON,21,0,10,59.7,42.0
5/20/19,New York Yankees,J HAPP,10,7,L,Baltimore Orioles,A CASHNER,20,7,9,63.2,38.5
5/20/19,Philadelphia Phillies,J ARRIETA,5,4,L,Chicago Cubs,Y DARVISH,14,10,8,47.6,54.1
5/20/19,Oakland Athletics,B ANDERSON,6,4,L,Cleveland Indians,C CARRASCO,21,1,8,37.2,64.5
5/20/19,Chicago White Sox,R BURR,0,3,W,Houston Astros,B PEACOCK,0,4,9,32.0,69.7
5/20/19,Minnesota Twins,J ODORIZZI,3,1,L,Los Angeles Angels,T COLE,21,1,8.5,43.2,58.5
5/20/19,Washington Nationals,P CORBIN,3,5,W,New York Mets,W FONT,24,7,9,59.9,41.8
5/20/19,Arizona Diamondbacks,L WEAVER,1,2,W,San Diego Padres,C PADDACK,2,6,6.5,43.5,58.2
5/20/19,Atlanta Braves,M SOROKA,4,1,L,San Francisco Giants,A SUAREZ,23,1,7.5,58.8,42.9
5/20/19,Seattle Mariners,M LEAKE,9,10,W,Texas Rangers,M MINOR,20,10,11,43.2,58.5
5/20/19,Boston Red Sox,D PRICE,12,2,L,Toronto Blue Jays,E JACKSON,15,7,9,68.5,33.2
5/21/19,New York Yankees,D GERMAN,11,4,L,Baltimore Orioles,D HESS,14,2,9.5,71.1,30.6
5/21/19,Philadelphia Phillies,Z EFLIN,2,3,W,Chicago Cubs,J QUINTANA,18,11,7.5,46.9,54.8
5/21/19,Oakland Athletics,C BASSITT,5,3,L,Cleveland Indians,T BAUER,19,11,8.5,46.9,54.8
5/21/19,Miami Marlins,CA SMITH,5,4,L,Detroit Tigers,S TURNBULL,19,10,7,49.3,52.4
5/21/19,Chicago White Sox,D COVEY,1,5,W,Houston Astros,J VERLANDER,9,14,8.5,25.0,76.7
5/21/19,Minnesota Twins,M PINEDA,8,3,L,Los Angeles Angels,T CAHILL,16,0,9.5,49.1,52.6
5/21/19,Cincinnati Reds,S GRAY,3,0,L,Milwaukee Brewers,G GONZALEZ,21,5,8.5,45.9,55.8
5/21/19,Washington Nationals,E FEDDE,5,6,W,New York Mets,Z WHEELER,11,10,7.5,43.4,58.3
5/21/19,Colorado Rockies,G MARQUEZ,5,0,L,Pittsburgh Pirates,C ARCHER,17,8,7.5,52.9,48.8
5/21/19,Arizona Diamondbacks,Z GREINKE,2,3,W,San Diego Padres,M STRAHM,23,3,7,50.7,51.0
5/21/19,Atlanta Braves,J TEHERAN,3,4,W,San Francisco Giants,S ANDERSON,22,5,7.5,52.9,48.8
5/21/19,Los Angeles Dodgers,C KERSHAW,7,3,L,Tampa Bay Rays,H WOOD,22,0,7.5,58.2,43.5
5/21/19,Seattle Mariners,T MILONE,3,5,W,Texas Rangers,L LYNN,4,12,11.5,48.2,53.5
5/21/19,Boston Red Sox,E RODRIGUEZ,3,10,W,Toronto Blue Jays,M STROMAN,22,11,8.5,58.2,43.5
5/22/19,New York Yankees,C SABATHIA,7,5,L,Baltimore Orioles,D STRAILY,14,0,10,69.8,31.9
5/22/19,Philadelphia Phillies,C IRVIN,4,8,W,Chicago Cubs,C HAMELS,1,8,11,39.0,62.7
5/22/19,Oakland Athletics,F MONTAS,7,2,L,Cleveland Indians,J RODRIGUEZ,6,0,9.5,54.1,47.6
5/22/19,Miami Marlins,J URENA,6,3,L,Detroit Tigers,D NORRIS,3,8,9,49.3,52.4
5/22/19,Chicago White Sox,I NOVA,9,4,L,Houston Astros,G COLE,22,14,8,23.9,77.8
5/22/19,Cincinnati Reds,L CASTILLO,9,11,W,Milwaukee Brewers,Z DAVIES,21,10,7.5,51.9,49.8
5/22/19,Washington Nationals,M SCHERZER,1,6,W,New York Mets,J DEGROM,18,12,6,53.9,47.8
5/22/19,Colorado Rockies,J GRAY,9,3,L,Pittsburgh Pirates,M DURAPAU,15,0,8,52.9,48.8
5/22/19,Arizona Diamondbacks,M KELLY,2,5,W,San Diego Padres,E LAUER,22,8,8,44.4,57.3
5/22/19,Atlanta Braves,M FRIED,9,2,L,San Francisco Giants,J SAMARDZIJA,19,11,7.5,61.0,40.7
5/22/19,Kansas City Royals,B KELLER,8,2,L,St Louis Cardinals,M WACHA,17,6,9.5,38.1,63.6
5/22/19,Kansas City Royals,H BAILEY,3,10,W,St Louis Cardinals,A WAINWRIGHT,18,12,9,35.8,65.9
5/22/19,Los Angeles Dodgers,R HILL,1,8,W,Tampa Bay Rays,R STANEK,9,6,8,54.1,47.6
5/22/19,Seattle Mariners,M GONZALES,1,2,W,Texas Rangers,J CHAVEZ,22,2,11.5,55.4,46.3
5/22/19,Boston Red Sox,R PORCELLO,6,5,L,Toronto Blue Jays,AA SANCHEZ,21,8,9,58.6,43.1
5/23/19,New York Yankees,M TANAKA,6,5,L,Baltimore Orioles,D BUNDY,20,11,8.5,65.1,36.6
5/23/19,Philadelphia Phillies,A NOLA,9,7,L,Chicago Cubs,J LESTER,23,11,9.5,55.2,46.5
5/23/19,Tampa Bay Rays,R YARBROUGH,7,2,L,Cleveland Indians,A PLUTKO,13,7,9.5,56.0,45.7
5/23/19,Miami Marlins,T RICHARDS,5,2,L,Detroit Tigers,M BOYD,13,8,9,42.7,59.0
5/23/19,Chicago White Sox,L GIOLITO,4,0,L,Houston Astros,C MARTIN,20,1,9,37.4,64.3
5/23/19,Minnesota Twins,M PEREZ,16,7,L,Los Angeles Angels,M HARVEY,21,2,9,56.5,45.2
5/23/19,Washington Nationals,S STRASBURG,4,6,W,New York Mets,S MATZ,23,11,7,61.4,40.3
5/23/19,Colorado Rockies,A SENZATELA,6,14,W,Pittsburgh Pirates,J LYLES,17,9,9,46.1,55.6
5/23/19,Atlanta Braves,K GAUSMAN,5,4,L,San Francisco Giants,M BUMGARNER,7,13,7,53.4,48.3
5/23/19,Boston Red Sox,R WEBER,8,2,L,Toronto Blue Jays,C RICHARD,2,5,10,56.7,45.0
5/24/19,Cincinnati Reds,A DESCLAFANI,6,5,L,Chicago Cubs,K HENDRICKS,20,9,8,37.8,63.9
5/24/19,Tampa Bay Rays,B SNELL,1,3,W,Cleveland Indians,S BIEBER,14,12,7.5,55.6,46.1
5/24/19,Baltimore Orioles,J MEANS,6,8,W,Colorado Rockies,J HOFFMAN,19,7,11.5,42.4,59.3
5/24/19,Boston Red Sox,C SALE,3,4,W,Houston Astros,W MILEY,14,10,8.5,59.7,42.0
5/24/19,Texas Rangers,D SMYLY,4,3,L,Los Angeles Angels,G CANNING,14,7,9.5,40.9,60.8
5/24/19,Philadelphia Phillies,J EICKHOFF,6,4,L,Milwaukee Brewers,C ANDERSON,3,12,9.5,42.9,58.8
5/24/19,Chicago White Sox,RE LOPEZ,4,11,W,Minnesota Twins,J BERRIOS,22,9,9,34.9,66.8
5/24/19,Detroit Tigers,G SOTO,9,8,L,New York Mets,N SYNDERGAARD,3,13,8,28.7,73.0
5/24/19,Seattle Mariners,W LEBLANC,2,6,W,Oakland Athletics,D MENGDEN,3,3,9.5,41.1,60.6
5/24/19,Los Angeles Dodgers,W BUEHLER,10,2,L,Pittsburgh Pirates,M FELIZ,21,0,9,65.5,36.2
5/24/19,Arizona Diamondbacks,R RAY,18,2,L,San Francisco Giants,D POMERANZ,22,5,6.5,57.6,44.1
5/24/19,Atlanta Braves,M FOLTYNEWICZ,5,2,L,St Louis Cardinals,M MIKOLAS,16,9,10,43.2,58.5
5/24/19,San Diego Padres,J LUCCHESI,6,3,L,Toronto Blue Jays,T THORNTON,20,7,8.5,54.1,47.6
5/24/19,Miami Marlins,P LOPEZ,10,12,W,Washington Nationals,K MCGOWIN,11,0,9,42.2,59.5
5/25/19,Cincinnati Reds,T MAHLE,6,8,W,Chicago Cubs,Y DARVISH,15,9,11,43.2,58.5
5/25/19,Tampa Bay Rays,C MORTON,6,2,L,Cleveland Indians,C CARRASCO,24,0,8.5,46.7,55.0
5/25/19,Baltimore Orioles,A CASHNER,9,6,L,Colorado Rockies,K FREELAND,12,5,11.5,39.2,62.5
5/25/19,Boston Red Sox,D PRICE,3,4,W,Houston Astros,B PEACOCK,14,3,9,45.0,56.7
5/25/19,New York Yankees,J HAPP,7,3,L,Kansas City Royals,J JUNIS,19,11,9.5,56.0,45.7
5/25/19,New York Yankees,C GREEN,6,5,L,Kansas City Royals,J LOPEZ,13,2,9.5,60.4,41.3
5/25/19,Texas Rangers,M MINOR,2,3,W,Los Angeles Angels,T SKAGGS,21,2,8.5,51.2,50.5
5/25/19,Philadelphia Phillies,J ARRIETA,7,2,L,Milwaukee Brewers,J CHACIN,13,7,10,45.9,55.8
5/25/19,Chicago White Sox,M BANUELOS,1,8,W,Minnesota Twins,K GIBSON,2,12,10.5,33.9,67.8
5/25/19,Detroit Tigers,R CARPENTER,4,5,W,New York Mets,J VARGAS,6,11,9,38.2,63.5
5/25/19,Seattle Mariners,Y KIKUCHI,5,6,W,Oakland Athletics,M FIERS,20,11,9.5,47.2,54.5
5/25/19,Los Angeles Dodgers,H RYU,7,2,L,Pittsburgh Pirates,J MUSGROVE,20,12,8,64.7,37.0
5/25/19,Arizona Diamondbacks,T CLARKE,10,4,L,San Francisco Giants,A SUAREZ,13,0,8,47.4,54.3
5/25/19,Atlanta Braves,M SOROKA,3,6,W,St Louis Cardinals,DAK HUDSON,22,12,9.5,53.6,48.1
5/25/19,San Diego Padres,C QUANTRILL,19,4,L,Toronto Blue Jays,E JACKSON,14,6,10,50.7,51.0
5/25/19,Miami Marlins,S ALCANTARA,0,5,W,Washington Nationals,P CORBIN,20,10,9,32.8,68.9
5/26/19,Cincinnati Reds,T ROARK,10,2,L,Chicago Cubs,J QUINTANA,20,10,7.5,40.3,61.4
5/26/19,Tampa Bay Rays,R STANEK,6,3,L,Cleveland Indians,T BAUER,13,10,8.5,50.0,51.7
5/26/19,Baltimore Orioles,D HESS,7,8,W,Colorado Rockies,G MARQUEZ,4,7,11.5,25.0,76.7
5/26/19,Boston Red Sox,E RODRIGUEZ,4,1,L,Houston Astros,J VERLANDER,21,13,8,39.4,62.3
5/26/19,New York Yankees,D GERMAN,7,8,W,Kansas City Royals,D DUFFY,13,10,9.5,60.4,41.3
5/26/19,Texas Rangers,A JURADO,6,7,W,Los Angeles Angels,A HEANEY,16,9,9,39.6,62.1
5/26/19,Philadelphia Phillies,Z EFLIN,1,9,W,Milwaukee Brewers,B WOODRUFF,17,6,9,41.5,60.2
5/26/19,Chicago White Sox,D COVEY,0,7,W,Minnesota Twins,J ODORIZZI,8,10,10,31.6,70.1
5/26/19,Detroit Tigers,S TURNBULL,3,4,W,New York Mets,Z WHEELER,19,9,7.5,39.0,62.7
5/26/19,Seattle Mariners,M LEAKE,1,7,W,Oakland Athletics,B ANDERSON,19,10,9,45.2,56.5
5/26/19,Los Angeles Dodgers,K MAEDA,11,7,L,Pittsburgh Pirates,C ARCHER,16,7,9.5,60.5,41.2
5/26/19,Arizona Diamondbacks,L WEAVER,6,2,L,San Francisco Giants,S ANDERSON,1,4,7,50.0,51.7
5/26/19,Atlanta Braves,J TEHERAN,4,3,L,St Louis Cardinals,J FLAHERTY,21,10,9,43.0,58.7
5/26/19,San Diego Padres,R ERLIN,1,10,W,Toronto Blue Jays,M STROMAN,0,10,8.5,48.6,53.1
5/26/19,Miami Marlins,CA SMITH,6,9,W,Washington Nationals,E FEDDE,18,6,9,44.3,57.4
5/27/19,Detroit Tigers,D NORRIS,3,5,W,Baltimore Orioles,G YNOA,21,5,9.5,49.5,52.2
5/27/19,Cleveland Indians,J RODRIGUEZ,5,12,W,Boston Red Sox,R PORCELLO,2,12,10.5,37.5,64.2
5/27/19,Pittsburgh Pirates,N KINGHAM,8,5,L,Cincinnati Reds,L CASTILLO,1,13,9.5,34.7,67.0
5/27/19,Pittsburgh Pirates,M KELLER,1,8,W,Cincinnati Reds,S GRAY,10,10,9,39.7,62.0
5/27/19,Arizona Diamondbacks,Z GREINKE,3,4,W,Colorado Rockies,J GRAY,22,8,10,50.7,51.0
5/27/19,Chicago Cubs,C HAMELS,5,6,W,Houston Astros,G COLE,16,13,8,39.2,62.5
5/27/19,New York Mets,J DEGROM,5,9,W,Los Angeles Dodgers,C KERSHAW,21,12,7,38.1,63.6
5/27/19,Milwaukee Brewers,G GONZALEZ,5,4,L,Minnesota Twins,M PINEDA,11,7,9,53.6,48.1
5/27/19,San Diego Padres,M STRAHM,2,5,W,New York Yankees,C GREEN,6,7,10,46.5,55.2
5/27/19,Los Angeles Angels,T CAHILL,5,8,W,Oakland Athletics,C BASSITT,0,8,9,41.4,60.3
5/27/19,Texas Rangers,L LYNN,2,6,W,Seattle Mariners,T MILONE,22,3,9.5,47.4,54.3
5/27/19,Toronto Blue Jays,AA SANCHEZ,3,8,W,Tampa Bay Rays,Y CHIRINOS,15,7,8,37.8,63.9
5/27/19,Miami Marlins,J URENA,3,2,L,Washington Nationals,M SCHERZER,2,10,8.5,28.4,73.3
5/28/19,Washington Nationals,S STRASBURG,5,4,L,Atlanta Braves,M FRIED,22,8,9,47.6,54.1
5/28/19,Detroit Tigers,M BOYD,3,0,L,Baltimore Orioles,D BUNDY,19,10,9,51.7,50.0
5/28/19,Cleveland Indians,Z PLESAC,7,5,L,Boston Red Sox,D PRICE,20,5,9,35.9,65.8
5/28/19,Kansas City Royals,B KELLER,3,4,W,Chicago White Sox,L GIOLITO,16,10,8,41.1,60.6
5/28/19,Pittsburgh Pirates,J LYLES,6,11,W,Cincinnati Reds,L SIMS,18,1,10,51.0,50.7
5/28/19,Arizona Diamondbacks,M KELLY,2,6,W,Colorado Rockies,A SENZATELA,21,8,11.5,45.4,56.3
5/28/19,Chicago Cubs,J LESTER,6,9,W,Houston Astros,C MARTIN,21,0,9,49.8,51.9
5/28/19,New York Mets,S MATZ,7,3,L,Los Angeles Dodgers,R HILL,19,3,8,36.7,65.0
5/28/19,San Francisco Giants,J SAMARDZIJA,3,11,W,Miami Marlins,T RICHARDS,21,7,7.5,50.2,51.5
5/28/19,Milwaukee Brewers,Z DAVIES,3,5,W,Minnesota Twins,D SMELTZER,20,2,10,53.4,48.3
5/28/19,San Diego Padres,E LAUER,5,4,L,New York Yankees,M TANAKA,18,10,9,36.9,64.8
5/28/19,Los Angeles Angels,C BEDROSIAN,6,4,L,Oakland Athletics,F MONTAS,3,2,9,38.7,63.0
5/28/19,St Louis Cardinals,A WAINWRIGHT,3,4,W,Philadelphia Phillies,N PIVETTA,21,4,10.5,48.2,53.5
5/28/19,Texas Rangers,J CHAVEZ,11,4,L,Seattle Mariners,M GONZALES,6,9,10,41.1,60.6
5/28/19,Toronto Blue Jays,C RICHARD,1,3,W,Tampa Bay Rays,R STANEK,8,5,8.5,36.7,65.0
5/29/19,Washington Nationals,A SANCHEZ,14,4,L,Atlanta Braves,K GAUSMAN,21,3,10.5,39.7,62.0
5/29/19,Detroit Tigers,R CARPENTER,4,2,L,Baltimore Orioles,J MEANS,5,11,9.5,45.2,56.5
5/29/19,Cleveland Indians,S BIEBER,14,9,L,Boston Red Sox,R WEBER,22,0,9,49.5,52.2
5/29/19,Kansas City Royals,G SPARKMAN,7,8,W,Chicago White Sox,RE LOPEZ,19,8,9,50.0,51.7
5/29/19,Pittsburgh Pirates,S BRAULT,7,2,L,Cincinnati Reds,A DESCLAFANI,16,10,10,43.2,58.5
5/29/19,Arizona Diamondbacks,R RAY,4,5,W,Colorado Rockies,J HOFFMAN,21,6,11,52.2,49.5
5/29/19,Chicago Cubs,K HENDRICKS,2,1,L,Houston Astros,W MILEY,19,9,9,52.2,49.5
5/29/19,New York Mets,N SYNDERGAARD,8,9,W,Los Angeles Dodgers,W BUEHLER,20,10,7.5,37.9,63.8
5/29/19,San Francisco Giants,M BUMGARNER,2,4,W,Miami Marlins,P LOPEZ,22,6,7,54.3,47.4
5/29/19,San Diego Padres,C PADDACK,0,7,W,New York Yankees,J PAXTON,16,11,8,44.8,56.9
5/29/19,Los Angeles Angels,G CANNING,12,7,L,Oakland Athletics,L HENDRIKS,11,0,9,44.3,57.4
5/29/19,St Louis Cardinals,G CABRERA,4,11,W,Philadelphia Phillies,A NOLA,1,11,10,38.6,63.1
5/29/19,Texas Rangers,J LECLERC,8,7,L,Seattle Mariners,W LEBLANC,1,0,9.5,44.3,57.4
5/29/19,Toronto Blue Jays,T THORNTON,3,4,W,Tampa Bay Rays,B SNELL,17,5,7,29.8,71.9
5/30/19,Cleveland Indians,C CARRASCO,4,10,W,Chicago White Sox,M BANUELOS,0,1,8.5,65.7,36.0
5/30/19,Arizona Diamondbacks,T CLARKE,10,11,W,Colorado Rockies,K FREELAND,12,4,12,48.0,53.7
5/30/19,New York Mets,J VARGAS,0,2,W,Los Angeles Dodgers,H RYU,20,8,8.5,30.4,71.3
5/30/19,San Francisco Giants,T BEEDE,3,1,L,Miami Marlins,S ALCANTARA,20,9,7.5,51.2,50.5
5/30/19,St Louis Cardinals,DAK HUDSON,5,3,L,Philadelphia Phillies,J EICKHOFF,22,1,10.5,50.2,51.5
5/30/19,Milwaukee Brewers,C ANDERSON,11,5,L,Pittsburgh Pirates,J MUSGROVE,22,11,9,54.5,47.2
5/30/19,Los Angeles Angels,L. GARCIA,9,3,L,Seattle Mariners,Y KIKUCHI,0,9,9.5,44.1,57.6
5/30/19,Minnesota Twins,M PEREZ,3,14,W,Tampa Bay Rays,C MORTON,20,13,7.5,42.2,59.5
5/30/19,Kansas City Royals,J JUNIS,4,2,L,Texas Rangers,M MINOR,19,9,9.5,38.6,63.1
5/31/19,New York Mets,Z WHEELER,5,4,L,Arizona Diamondbacks,J DUPLANTIER,19,1,9,52.4,49.3
5/31/19,Detroit Tigers,S TURNBULL,8,2,L,Atlanta Braves,M FOLTYNEWICZ,18,6,9.5,36.3,65.4
5/31/19,San Francisco Giants,D POMERANZ,6,9,W,Baltimore Orioles,A CASHNER,8,6,9,52.7,49.0
5/31/19,Cleveland Indians,T BAUER,1,6,W,Chicago White Sox,D COVEY,21,3,10,60.7,41.0
5/31/19,Washington Nationals,P CORBIN,3,9,W,Cincinnati Reds,T MAHLE,22,7,9,53.6,48.1
5/31/19,Toronto Blue Jays,E JACKSON,6,13,W,Colorado Rockies,G MARQUEZ,9,6,12,28.9,72.8
5/31/19,Philadelphia Phillies,J ARRIETA,3,6,W,Los Angeles Dodgers,K MAEDA,12,7,9,40.5,61.2
5/31/19,Boston Red Sox,C SALE,1,4,W,New York Yankees,J HAPP,13,9,9,58.4,43.3
5/31/19,Houston Astros,B PEACOCK,3,2,L,Oakland Athletics,M FIERS,5,10,8.5,54.1,47.6
5/31/19,Milwaukee Brewers,J CHACIN,4,9,W,Pittsburgh Pirates,C ARCHER,12,6,9.5,56.9,44.8
5/31/19,Miami Marlins,CA SMITH,2,5,W,San Diego Padres,J LUCCHESI,17,9,7,38.1,63.6
5/31/19,Los Angeles Angels,T SKAGGS,3,4,W,Seattle Mariners,M LEAKE,5,10,9.5,54.3,47.4
5/31/19,Chicago Cubs,Y DARVISH,1,2,W,St Louis Cardinals,M MIKOLAS,19,8,8.5,46.3,55.4
5/31/19,Minnesota Twins,J BERRIOS,5,3,L,Tampa Bay Rays,R STANEK,21,4,8,46.3,55.4
5/31/19,Kansas City Royals,D DUFFY,2,6,W,Texas Rangers,A JURADO,16,7,10.5,50.7,51.0
6/1/19,New York Mets,J DEGROM,5,6,W,Arizona Diamondbacks,Z GREINKE,20,9,7.5,50.2,51.5
6/1/19,Detroit Tigers,D NORRIS,5,10,W,Atlanta Braves,M SOROKA,20,9,9.5,29.5,72.2
6/1/19,San Francisco Giants,S ANDERSON,8,2,L,Baltimore Orioles,D HESS,12,1,10.5,57.6,44.1
6/1/19,Cleveland Indians,J RODRIGUEZ,5,2,L,Chicago White Sox,I NOVA,1,9,10.5,50.2,51.5
6/1/19,Washington Nationals,E FEDDE,5,2,L,Cincinnati Reds,T ROARK,9,10,10.5,45.9,55.8
6/1/19,Toronto Blue Jays,M STROMAN,2,4,W,Colorado Rockies,J GRAY,19,7,10.5,42.5,59.2
6/1/19,Philadelphia Phillies,C IRVIN,3,4,W,Los Angeles Dodgers,C KERSHAW,0,11,8.5,36.9,64.8
6/1/19,Boston Red Sox,R PORCELLO,3,5,W,New York Yankees,D GERMAN,19,4,9.5,45.6,56.1
6/1/19,Houston Astros,J VERLANDER,5,1,L,Oakland Athletics,B ANDERSON,23,9,7.5,57.1,44.6
6/1/19,Milwaukee Brewers,B WOODRUFF,12,10,L,Pittsburgh Pirates,N KINGHAM,11,0,9.5,65.7,36.0
6/1/19,Miami Marlins,J URENA,9,3,L,San Diego Padres,N MARGEVICIUS,1,1,8,40.5,61.2
6/1/19,Los Angeles Angels,A HEANEY,6,3,L,Seattle Mariners,T MILONE,16,2,9,55.4,46.3
6/1/19,Chicago Cubs,J QUINTANA,4,7,W,St Louis Cardinals,J FLAHERTY,20,9,9,41.4,60.3
6/1/19,Minnesota Twins,K GIBSON,6,2,L,Tampa Bay Rays,Y CHIRINOS,18,6,7.5,47.8,53.9
6/1/19,Kansas City Royals,H BAILEY,2,6,W,Texas Rangers,L LYNN,17,11,10.5,38.6,63.1
6/2/19,New York Mets,S MATZ,1,7,W,Arizona Diamondbacks,M KELLY,18,10,9.5,51.5,50.2
6/2/19,Detroit Tigers,M BOYD,4,7,W,Atlanta Braves,J TEHERAN,18,11,9,39.2,62.5
